07993 110803 Applied Computer Graphics                                      1035
06993 100303 Digital Publishing                                             0035
21992 439999 Emergency Services Administration                              0035
06012 500401 Communication Design                                           0035
03122 050126 Italian Studies                                                0035
01021 011102 Agronomy/Crop Science                                          0035
01031 011201 Soil Science                                                   0035
01041 010901 Animal Science                                                 0035
01051 010905 Dairy Science                                                  0035
01061 010907 Poultry Science                                                0035
01081 011103 Horticulture/Fruit Science                                     0035
01082 011103 Viticulture                                                    1035
01131 011001 Food Science                                                   0035
01132 011004 Enology                                                        0035
01152 030205 Watershed Management                                           0035
01153 030299 Natural Resources Planning                                     0035
01171 011106 Rangeland Resource Science                                     0035
01991 011105 Agricultural Biology/Plant Science                             0035
01992 019999 Agricultural Chemistry                                         0035
03071 050105 Russian/Central European Studies                               0035
03132 050122 California Studies                                             0035
19160 400603 Geophysics                                                     0035
04153 260102 Biomedical Science                                             0035
06013 090905 Health Communication                                           0035
08999 131399 STEM Education                                                 1035
09136 151599 Sustainable Manufacturing                                      0035
06051 090799 Broadcast Arts                                                 1035
05156 521003 Organizational Development                                     0035
00000 000000 Undeclared                                                     1035
04016 261303 Evolutionary Biology                                           0035
08349 360108 Applied fitness and Active Lifestyle Development               0035
00000 240102 Undeclared                                                     0035
04202 039999 Ecological Conservation                                        0035
06032 501001 Media Management                                               0035
08221 422806 Educational Psychology                                         0035
09133 150612 Industrial Technology                                          0035
10073 500509 Musical Theatre                                                0035
10075 501004 Concurrent MBA/MFA in Theatre Management                       0035
10992 501002 Arts Administration                                            0035
12031 513801 Nursing, Pre-Licensure                                         0035
12032 513801 Nursing (RN-to-Nursing Degree)                                 0035
12992 513811 Public Health and Nursing                                      0035
12993 513802 Nursing & Health Care Administration                           0035
15013 231301 English Composition                                            1035
15061 231304 Speech Communication                                           1035
15071 231302 Creative Writing                                               0035
15997 231303 Technical And Professional Writing                             0035
20013 422805 School Psychology                                              0035
20031 422801 Comm/Clinical Psych                                            0035
20041 422803 Counseling Psychology                                          0035
20071 422708 Psychological Statistics                                       0035
20081 422804 Industrial Psych                                               0035
20091 422703 Developmental Psych                                            0035
20101 422706 Physiological Psych                                            0035
20994 422804 Human Factors/Ergonomics                                       1035
20095 422812 Forensic Psychology                                            0035
22102 450902 National Security Studies                                      0035
22103 450999 INTERNAT SECURITY & CONFLICT RESOLVE                           0035
49022 303201 Marine Science                                                 0035
49102 030103 ENERGY, ENVIRONMENT, AND SOCIETY                               0035
20051 422707 Social Psychology                                              0035
22063 450702 Geographic Information Science                                 1035
17022 270599 Applied Statistics                                             0035
20012 422806 Psychology Education                                           0035
22990 050299 Gender/Women?s and Gay/Lesbian Studies                         0035
22991 050299 Gender/Ethnic/Women's Studies                                  0035
05017 522001 CONSTRUCTION MANAGEMENT                                        0035
21020 449900 Pub Admin/Latin American Studies                               1035
01082 010309 Wine and Vitaculture                                           1035
05103 520299 Engineering and Transportation Mgmt                            0035
12253 510911 RADIOLOGIC SCIENCES                                            0035
19020 149990 Engineering Sciences                                           1035
49101 030103 ENVIRONMENTAL STUDIES                                          0035
04014 269999 Human Biological Sciences                                      0035
12122 512308 Physical Therapy                                               0035
12140 512207 Public Health Promotion                                        0035
12033 513818 Nursing Practice                                               0035
01015 010802 Agricultural Communication                                     0035
19020 149999 Engineering Sciences                                           0035
15061 090101 Communications                                                 1035
17203 450702 Geographic Information Science                                 1035
03091 050108 Middle East Studies                                            0035
12203 510203 Speech Language Pathology (Entry-Ready)                        0035
12204 510203 Speech Language Pathology (without comm disorders)             0035
22063 450702 Geographic Information Systems                                 0035
49053 400605 Water Resource Management                                      0035
07060 520299 Software Engineering and Business Administration (concurrent)  0035
07070 520299 Systems Engineering and Business Administration (concurrent)   0035
15013 230301 English Composition                                            1035
22059 250103 Archives and Records Administration                            0035
11193 161408 Vietnamese                                                     0035
17203 450702 Geographic Information Systems                                 1035
10095 500411 Computer Animation and Game Development                        0035
15061 090101 Speech Communication                                           0035
06994 100301 Graphic Communications                                         0035
22032 301202 Applied Archaeology                                            0035
08350 310501 Kinesiology/Physical Education                                 1035
09230 430299 Fire Protection Engineering                                    0035
20996 422814 Applied Behavior Analysis                                      0035
01121 010102 Agricultural Business                                          0035
04152 512205 Biomedical Physics                                             0035
07031 111003 Cybersecurity                                                  0035
22997 302001 International/Global Studies                                   0035
08274 130401 Educational Leadership, CSU EdD P-12 and Com Coll combined     0035
19022 400899 Physics Management                                             0035
49005 450999 National Cybersecurity Studies                                 0035
49015 240101 Liberal Studies and Teacher Credential (Blended Program)       0035
49037 300501 Human Rights, Global Peace Stds                                0035
22031 450301 Archaeology                                                    0035
22073 451004 Poitical Economy                                               0035
12143 512207 Health Behavioral Science                                      0035
49103 030101 Ecological Restoration                                         0035
49104 030104 Energy and Climate                                             0035
20995 422812 Forensic Psychology                                            0035
12120 512308 Pre-Physical Therapy                                           0035
05073 521304 Actuarial Science                                              0035
05031 521302 Business Statistics                                            0035
49062 512210 Latin-American Stds/Public Health                              0035
49075 459999 Substance Use and Abuse Studies                                0035
21040 440799 MSW Social Work and MPA Public Administration (concurrent)     0035
15013 231301 English Composition                                            0035
05085 190902 Apparel/Textile Manufacture Management                         0035
11198 160300 East Asian Languages and Literatures                           0035
05071 521301 Quantitative Methods, Analysis, Business Analytics             0035
04101 260901 Physiology                                                     0035
04111 260502 Microbiology                                                   0035
04161 260204 Molecular Biology                                              0035
04181 261302 Marine Biology                                                 0035
04201 261301 Ecology                                                        0035
04221 260801 Genetics                                                       0035
04261 261004 Toxicology                                                     0035
04991 261201 Biotechnology                                                  0035
05023 520303 Auditing                                                       0035
05043 520804 Financial Services                                             0035
05072 143701 Management Sci/Operations Res                                  0035
05092 521803 Retailing                                                      0035
05121 521701 Insurance and Risk Management                                  0035
05991 110901 Business Computer Telecomm                                     0035
05992 090902 Public Relations                                               0035
05996 520703 Small Business Management                                      0035
06032 090799 Media Management                                               1035
06033 090102 Telecommunications and Film                                    0035
06041 090903 Advertising                                                    0035
06991 090702 Multimedia                                                     0035
06992 110899 Telecommunications/Multimedia                                  0035
07021 110103 Information Systems                                            0035
07022 301601 Accounting Information Systems                                 0035
07023 521201 Management Information Systems                                 0035
07052 140903 Software Engineering                                           0035
07991 110901 Telecommunication Systems                                      0035
08051 130406 Higher Education                                               0035
08061 130407 Community College Education                                    0035
08131 130901 Equity and Social Justice                                      0035
08221 421801 Educational Psychology                                         1035
08231 131210 Child Development/ECE                                          0035
08392 100301 Graphic Communications                                         1035
09082 143301 Construction Engineering                                       0035
09131 143501 Industrial Engineering                                         0035
09132 151501 Industrial Mgmt & Engineering                                  0035
09134 143601 Manufacturing Engineering                                      0035
09251 150000 Engineering Technology                                         0035
09256 150613 Manufacturing Engr Tech                                        0035
09259 151201 Computer Engineering Technology                                0035
09993 140899 Civil and Environmental Engr                                   0035
10091 500409 Graphic Design                                                 0035
12011 510000 Health Science                                                 0035
12012 510000 Interdisciplinary Health/Rehabilitative Science                0035
12031 511601 Nursing, Pre-Licensure                                         1035
12171 511509 Genetic Counseling                                             0035
13051 511505 Marriage and Family Therapy                                    0035
13052 190706 Child and Family Development                                   0035
13061 513101 Dietetics/Food Admin/Nutrition                                 1035
15021 230101 English Literature                                             0035
15031 160104 Comparative Literature                                         0035
15041 161200 Classics                                                       0035
15102 380206 Modern Jewish Studies                                          0035
19171 400699 Earth Sciences                                                 0035
19172 400699 Geosciences                                                    0035
19173 400699 Atmospheric and Oceanic Science                                0035
19191 400607 Oceanography                                                   0035
20041 420901 Counseling Pscyhology                                          1035
20991 301701 Behavioral Science                                             0035
20993 190701 Human Development                                              0035
21011 330104 Community Service                                              0035
21042 440000 Human Services, Collaborative                                  0035
